指标,排名,股票代码,股票名称,行业,指标值,单位,排序方向,说明
总股本最大,15,600938.SH,中国海油,油气开采,4752995.5,万股,DESC,规模指标，不代表投资质量
总股本最大,16,600010.SH,包钢股份,普钢,4522603.5,万股,DESC,规模指标，不代表投资质量
总股本最大,17,601868.SH,中国能建,基础建设,4424018.5,万股,DESC,规模指标，不代表投资质量
总股本最大,18,601319.SH,中国人保,保险,4422399.0,万股,DESC,规模指标，不代表投资质量
总股本最大,19,600016.SH,民生银行,全国性银行,4378242.0,万股,DESC,规模指标，不代表投资质量
总股本最大,20,600221.SH,海航控股,航空机场,4321563.5,万股,DESC,规模指标，不代表投资质量
流通股本最大,1,601288.SH,农业银行,全国性银行,31924420.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,2,601398.SH,工商银行,全国性银行,26961222.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,3,601988.SH,中国银行,全国性银行,21076552.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,4,601857.SH,中国石油,油气开采,16192207.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,5,600028.SH,中国石化,石油化工,9475248.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,6,601728.SH,中国电信,电信服务,7762972.5,万股,DESC,规模指标，不代表投资质量
流通股本最大,7,601658.SH,邮储银行,全国性银行,7252780.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,8,601816.SH,京沪高铁,公路铁路,4892568.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,9,601818.SH,光大银行,全国性银行,4640681.5,万股,DESC,规模指标，不代表投资质量
流通股本最大,10,600221.SH,海航控股,航空机场,4284551.5,万股,DESC,规模指标，不代表投资质量
流通股本最大,11,601668.SH,中国建筑,房屋建设,4132039.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,12,601998.SH,中信银行,全国性银行,4076300.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,13,003816.SZ,中国广核,电力,3933519.0,万股,DESC,规模指标，不代表投资质量
流通股本最大,14,601319.SH,中国人保,保险,3549775.75,万股,DESC,规模指标，不代表投资质量
流通股本最大,15,600016.SH,民生银行,全国性银行,3546212.25,万股,DESC,规模指标，不代表投资质量
流通股本最大,16,000725.SZ,京东方Ａ,光学光电,3536713.25,万股,DESC,规模指标，不代表投资质量
流通股本最大,17,600000.SH,浦发银行,全国性银行,3330583.75,万股,DESC,规模指标，不代表投资质量
流通股本最大,18,601868.SH,中国能建,基础建设,3242872.75,万股,DESC,规模指标，不代表投资质量
流通股本最大,19,600010.SH,包钢股份,普钢,3131821.25,万股,DESC,规模指标，不代表投资质量
流通股本最大,20,600050.SH,中国联通,电信服务,3099041.0,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,1,601398.SH,工商银行,全国性银行,3119269.27,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,2,000725.SZ,京东方Ａ,光学光电,3031193.19,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,3,601288.SH,农业银行,全国性银行,2862106.21,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,4,600016.SH,民生银行,全国性银行,2810983.83,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,5,600221.SH,海航控股,航空机场,2479344.84,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,6,601816.SH,京沪高铁,公路铁路,2455697.41,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,7,601328.SH,交通银行,全国性银行,2296728.58,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,8,600010.SH,包钢股份,普钢,1988015.72,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,9,000100.SZ,TCL科技,光学光电,1952276.89,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,10,601916.SH,浙商银行,全国性银行,1809235.97,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,11,600157.SH,永泰能源,电力,1779047.22,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,12,601668.SH,中国建筑,房屋建设,1747666.33,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,13,601818.SH,光大银行,全国性银行,1574705.05,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,14,601169.SH,北京银行,地方性银行,1463037.34,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,15,601899.SH,紫金矿业,工业金属,1451827.51,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,16,601728.SH,中国电信,电信服务,1435912.7,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,17,601868.SH,中国能建,基础建设,1416047.51,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,18,600028.SH,中国石化,石油化工,1395898.16,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,19,600919.SH,江苏银行,地方性银行,1360062.98,万股,DESC,规模指标，不代表投资质量
自由流通股本最大,20,601166.SH,兴业银行,全国性银行,1337537.84,万股,DESC,规模指标，不代表投资质量
市盈率最低（仅正值）,1,000656.SZ,金科股份,房地产开发,0.36,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,2,600841.SH,动力新科,汽车零部件,2.47,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,3,002582.SZ,好想你,休闲食品,2.88,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,4,601997.SH,贵阳银行,地方性银行,3.92,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,5,600015.SH,华夏银行,全国性银行,3.95,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,6,000498.SZ,山东路桥,基础建设,3.97,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,7,601336.SH,新华保险,保险,4.24,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,8,601628.SH,中国人寿,保险,4.39,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,9,002611.SZ,东方精工,专用设备,4.44,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,10,603323.SH,苏农银行,地方性银行,4.65,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,11,601577.SH,长沙银行,地方性银行,4.68,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,12,601166.SH,兴业银行,全国性银行,4.92,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,13,600502.SH,安徽建工,基础建设,4.98,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,14,601186.SH,中国铁建,基础建设,5.04,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,15,601528.SH,瑞丰银行,地方性银行,5.06,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,16,601128.SH,常熟银行,地方性银行,5.1,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,17,002958.SZ,青农商行,地方性银行,5.12,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,18,600908.SH,无锡银行,地方性银行,5.21,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,19,002839.SZ,张家港行,地方性银行,5.22,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市盈率最低（仅正值）,20,000001.SZ,平安银行,全国性银行,5.23,倍,ASC,低估值候选；需排除利润周期和一次性收益影响
市净率最低（仅正值）,1,600383.SH,金地集团,房地产开发,0.24,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,2,600016.SH,民生银行,全国性银行,0.27,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,3,600048.SH,保利发展,房地产开发,0.3,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,4,601186.SH,中国铁建,基础建设,0.3,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,5,600015.SH,华夏银行,全国性银行,0.31,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,6,601997.SH,贵阳银行,地方性银行,0.31,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,7,601800.SH,中国交建,基础建设,0.33,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,8,601390.SH,中国中铁,基础建设,0.34,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,9,002936.SZ,郑州银行,地方性银行,0.35,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,10,601818.SH,光大银行,全国性银行,0.35,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,11,600782.SH,新钢股份,普钢,0.36,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,12,601668.SH,中国建筑,房屋建设,0.36,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,13,000002.SZ,万 科Ａ,房地产开发,0.37,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,14,000401.SZ,金隅冀东,水泥,0.37,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,15,000877.SZ,天山股份,水泥,0.37,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,16,000402.SZ,金 融 街,房地产开发,0.39,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,17,002110.SZ,三钢闽光,普钢,0.39,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,18,001227.SZ,兰州银行,地方性银行,0.4,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
市净率最低（仅正值）,19,600104.SH,上汽集团,乘用车,0.4,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
